IDProiezione, IDFilm, IDsala, prezzo, data, postiLiberi, disposizionePosti
23,1, 6, 10.0, 12-07-2022 18:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
24,1, 6, 10.0, 12-07-2022 22:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
25,1, 6, 10.0, 13-07-2022 18:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
26,1, 6, 10.0, 13-07-2022 22:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
27,1, 6, 10.0, 14-07-2022 18:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
28,1, 6, 10.0, 14-07-2022 22:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
29,1, 6, 10.0, 15-07-2022 18:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
30,1, 6, 10.0, 15-07-2022 22:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
31,1, 6, 10.0, 16-07-2022 18:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
32,1, 6, 10.0, 16-07-2022 22:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
33,1, 6, 10.0, 17-07-2022 18:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
34,1, 6, 10.0, 17-07-2022 22:30:00, 166, 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0; 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0; 0: 0: 0: 0: 0: 1: 1: 1: 1: 1: 1: 1: 1: 1: 1: 0: 0: 0: 0: 0
35,2, 2, 7.50, 01-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
36,2, 2, 7.50, 01-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
37,2, 2, 7.50, 02-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
38,2, 2, 7.50, 02-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
39,2, 2, 7.50, 03-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
40,2, 2, 7.50, 03-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
41,2, 2, 7.50, 04-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
42,2, 2, 7.50, 04-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
43,2, 2, 7.50, 05-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
44,2, 2, 7.50, 05-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
45,2, 2, 7.50, 06-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
46,2, 2, 7.50, 06-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
47,2, 2, 7.50, 07-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
48,2, 2, 7.50, 07-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
49,2, 2, 7.50, 08-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
50,2, 2, 7.50, 08-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
51,2, 2, 7.50, 09-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
52,2, 2, 7.50, 09-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
53,2, 2, 7.50, 10-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
54,2, 2, 7.50, 10-07-2022 20:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
55,2, 2, 7.50, 11-07-2022 16:30:00, 60, 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1; 1: 0: 1: 1: 0: 1: 1: 0: 1
